"Date ","Open","High","Low","Close","Prev. Close","Change","% Change"
"03-Apr-2017","       12.4200","       12.7575","       11.4100","       11.4925","       12.4200","       -0.9300","  -7.47"
"05-Apr-2017","       11.4925","       11.8875","       10.8900","       11.5500","       11.4925","        0.0600","   0.50"
"06-Apr-2017","       11.5500","       11.7675","       11.0325","       11.2900","       11.5500","       -0.2600","  -2.25"
"07-Apr-2017","       11.2900","       11.8125","       10.3050","       11.6925","       11.2900","        0.4000","   3.57"
"10-Apr-2017","       11.6925","       11.9225","       11.2425","       11.6200","       11.6925","       -0.0700","  -0.62"
"11-Apr-2017","       11.6200","       11.8325","       10.2375","       11.3950","       11.6200","       -0.2300","  -1.94"
"12-Apr-2017","       11.3950","       12.0650","       10.7900","       11.6275","       11.3950","        0.2300","   2.04"
"13-Apr-2017","       11.6275","       11.7825","       10.5850","       11.5775","       11.6275","       -0.0500","  -0.43"
"17-Apr-2017","       11.5775","       12.2125","       10.6925","       11.8925","       11.5775","        0.3200","   2.72"
"18-Apr-2017","       11.8925","       12.5925","       10.7600","       12.3750","       11.8925","        0.4800","   4.06"
"19-Apr-2017","       12.3750","       12.5150","       10.7450","       12.2150","       12.3750","       -0.1600","  -1.29"
"20-Apr-2017","       12.2150","       12.2150","       10.8550","       11.5600","       12.2150","       -0.6600","  -5.36"
"21-Apr-2017","       11.5600","       11.7350","       10.5550","       11.4225","       11.5600","       -0.1400","  -1.19"
"24-Apr-2017","       11.4225","       11.8550","       10.9675","       11.6250","       11.4225","        0.2000","   1.77"
"25-Apr-2017","       11.6250","       11.6250","       10.9725","       11.1550","       11.6250","       -0.4700","  -4.04"
"26-Apr-2017","       11.1550","       11.8650","        9.9175","       11.7400","       11.1550","        0.5900","   5.24"
"27-Apr-2017","       11.7400","       11.7400","       10.3600","       11.0700","       11.7400","       -0.6700","  -5.71"
"28-Apr-2017","       11.0700","       11.0700","       10.5325","       10.8600","       11.0700","       -0.2100","  -1.90"
"02-May-2017","       10.8600","       11.8075","       10.3525","       11.4475","       10.8600","        0.5900","   5.41"
"03-May-2017","       11.4475","       11.6600","        9.9450","       11.5275","       11.4475","        0.0800","   0.70"
"04-May-2017","       11.5275","       11.7825","       10.6050","       11.3325","       11.5275","       -0.2000","  -1.69"
"05-May-2017","       11.3325","       12.1600","       10.4525","       11.9875","       11.3325","        0.6600","   5.78"
"08-May-2017","       11.9875","       11.9875","       10.6125","       11.6650","       11.9875","       -0.3200","  -2.69"
"09-May-2017","       11.6650","       11.6650","       10.5425","       11.1125","       11.6650","       -0.5500","  -4.74"
"10-May-2017","       11.1125","       11.1125","        9.9575","       10.9475","       11.1125","       -0.1700","  -1.48"
"11-May-2017","       10.9475","       11.2600","        9.8975","       10.8375","       10.9475","       -0.1100","  -1.00"
"12-May-2017","       10.8375","       10.8375","        9.4650","       10.6275","       10.8375","       -0.2100","  -1.94"
"15-May-2017","       10.6275","       11.1400","        8.8350","       10.6750","       10.6275","        0.0500","   0.45"
"16-May-2017","       10.6750","       11.0225","        9.0650","       10.5600","       10.6750","       -0.1200","  -1.08"
"17-May-2017","       10.5600","       10.8075","        9.2450","       10.6350","       10.5600","        0.0800","   0.71"
"18-May-2017","       10.6350","       12.7450","        9.8175","       11.7850","       10.6350","        1.1500","  10.81"
"19-May-2017","       11.7850","       11.9000","       10.3975","       11.3025","       11.7850","       -0.4800","  -4.09"
"22-May-2017","       11.3025","       11.8525","       10.2000","       11.2025","       11.3025","       -0.1000","  -0.88"
"23-May-2017","       11.2025","       12.7650","        9.8650","       12.2025","       11.2025","        1.0000","   8.93"
"24-May-2017","       12.2025","       12.7850","       10.4500","       11.8300","       12.2025","       -0.3700","  -3.05"
"25-May-2017","       11.8300","       11.9200","       10.1925","       10.4475","       11.8300","       -1.3800"," -11.69"
"26-May-2017","       10.4475","       11.1875","        9.8875","       10.8625","       10.4475","        0.4200","   3.97"
"29-May-2017","       10.8625","       11.8775","       10.2600","       11.7875","       10.8625","        0.9300","   8.52"
"30-May-2017","       11.7875","       12.2725","       10.8625","       11.7650","       11.7875","       -0.0200","  -0.19"
"31-May-2017","       11.7650","       12.2475","       11.0200","       11.7625","       11.7650","        0.0000","  -0.02"
"01-Jun-2017","       11.7625","       11.9125","       10.6125","       11.3075","       11.7625","       -0.4600","  -3.87"
